"CNPJ";"Beneficiário";"Nome Fantasia";"UF";"Município";"CNAE";"Benefício Fiscal";"Valor Renunciado(R$)";
"04.571.158/0001-72";"SETE MARES LOCADORA DE VEICULOS LTDA";"";"SÃO PAULO";"SANTOS";"49299 - Transporte rodoviário coletivo de passageiros, sob regime de fretamento, e outros transportes rodoviários não especificados anteriormente";"Programa Emergencial de Retomada do Setor de Eventos (Perse) - CSLL";"8,64";
"33.161.980/0001-63";"BEDSON - COMERCIO DE PRODUTOS ANIMAIS LTDA";"BEDSON BRASIL";"SÃO PAULO";"SANTOS";"46443 - Comércio atacadista de produtos farmacêuticos para uso humano e veterinário";"PIS";"14,00";
"04.571.158/0001-72";"SETE MARES LOCADORA DE VEICULOS LTDA";"";"SÃO PAULO";"SANTOS";"49299 - Transporte rodoviário coletivo de passageiros, sob regime de fretamento, e outros transportes rodoviários não especificados anteriormente";"Programa Emergencial de Retomada do Setor de Eventos (Perse) - IRPJ";"19,20";
"04.879.841/0003-33";"ADISSEO BRASIL NUTRICAO ANIMAL LTDA";"";"SÃO PAULO";"SANTOS";"46397 - Comércio atacadista de produtos alimentícios em geral";"Imposto de Importação";"26,00";
"02.176.957/0001-19";"HANJIN SHIPPING DO BRASIL LTDA - EM LIQUIDACAO";"";"SÃO PAULO";"SANTOS";"52320 - Atividades de agenciamento marítimo";"PIS";"28,00";
"17.453.310/0001-64";"OSTEN PREMIUM COMERCIO DE VEICULOS LTDA";"OSTEN MOTORS";"SÃO PAULO";"SANTOS";"00000 - Sem informação";"Fundos de Direitos da Criança e do Adolescente";"42,66";
"33.161.980/0001-63";"BEDSON - COMERCIO DE PRODUTOS ANIMAIS LTDA";"BEDSON BRASIL";"SÃO PAULO";"SANTOS";"46443 - Comércio atacadista de produtos farmacêuticos para uso humano e veterinário";"COFINS";"67,00";
"02.176.957/0001-19";"HANJIN SHIPPING DO BRASIL LTDA - EM LIQUIDACAO";"";"SÃO PAULO";"SANTOS";"52320 - Atividades de agenciamento marítimo";"COFINS";"128,00";
"53.152.989/0001-15";"PROPAGAR EMPREENDIMENTOS IMOBILIARIOS LTDA";"PROPAGAR EMPREENDIMENTOS IMOBILIARIOS";"SÃO PAULO";"SANTOS";"68102 - Atividades imobiliárias de imóveis próprios";"Programa de Alimentação do Trabalhador";"142,55";
"04.267.351/0001-14";"DEICMAR PORT LOGISTICA LTDA";"";"SÃO PAULO";"SANTOS";"52311 - Gestão de portos e terminais";"Programa de Alimentação do Trabalhador";"148,16";
"18.712.309/0001-70";"CONTROL CLEAN SERVICOS ESPECIALIZADOS LTDA";"";"SÃO PAULO";"SANTOS";"81117 - Serviços combinados para apoio a edifícios, exceto condomínios prediais";"Programa de Alimentação do Trabalhador";"160,00";
"14.491.710/0001-76";"ATLANTIS AGENCIAMENTOS MARITIMOS E DE CARGAS LTDA";"ATLANTIS AGENCIAMENTOS MARITIMOS E DE CARGAS";"SÃO PAULO";"SANTOS";"52320 - Atividades de agenciamento marítimo";"Programa de Alimentação do Trabalhador";"168,35";
"58.367.079/0001-73";"MERIDIONAL MARITIMA LTDA";"MERIDIONAL MARITIMA LTDA";"SÃO PAULO";"SANTOS";"52320 - Atividades de agenciamento marítimo";"Programa de Alimentação do Trabalhador";"175,47";
"03.089.261/0001-18";"ALBOR ARQUITETURA,CONSTRUCAO E DESENVOLVIMENTO IMOBILIARIO LTDA";"ALBOR";"SÃO PAULO";"SANTOS";"00000 - Sem informação";"Programa de Alimentação do Trabalhador";"190,97";
"01.286.852/0001-50";"IMPAKTO SERVICOS DE ASSESSORIA EMPRESARIAL LTDA";"";"SÃO PAULO";"SANTOS";"81117 - Serviços combinados para apoio a edifícios, exceto condomínios prediais";"Programa de Alimentação do Trabalhador";"199,81";
"42.278.291/0011-04";"LOG-IN - LOGISTICA INTERMODAL S/A";"LOG-IN";"SÃO PAULO";"SANTOS";"52508 - Atividades relacionadas à organização do transporte de carga";"PIS";"205,00";
"42.565.697/0001-98";"INTERTEK DO BRASIL INSPECOES LTDA.";"";"SÃO PAULO";"SANTOS";"71201 - Testes e análises técnicas";"PIS";"211,00";
"24.922.744/0001-21";"AUTHENTIC ITALIAN FOOD LTDA";"AUTHENTIC ITALIAN FOOD";"SÃO PAULO";"SANTOS";"74901 - Atividades profissionais, científicas e técnicas não especificadas anteriormente";"PIS";"228,00";
"26.579.934/0001-13";"VAIL COMERCIO DE ALIMENTOS LTDA";"";"SÃO PAULO";"SANTOS";"56112 - Restaurantes e outros estabelecimentos de serviços de alimentação e bebidas";"Programa de Alimentação do Trabalhador";"228,64";
"19.402.941/0001-80";"SERRA & ZAHER MEDICOS ASSOCIADOS LTDA";"";"SÃO PAULO";"SANTOS";"86101 - Atividades de atendimento hospitalar";"Programa Emergencial de Retomada do Setor de Eventos (Perse) - CSLL";"238,93";
"60.350.519/0001-21";"ENGOS ENGENHARIA E PROJETO LTDA";"";"SÃO PAULO";"SANTOS";"71120 - Serviços de engenharia";"Programa Emergencial de Retomada do Setor de Eventos (Perse) - CSLL";"300,00";
"38.327.648/0001-40";"ENTRUST TRAVEL TURISMO LTDA";"LA VIAJERA";"SÃO PAULO";"SANTOS";"79112 - Agências de viagens";"Programa Emergencial de Retomada do Setor de Eventos (Perse) - CSLL";"313,80";
"00.663.648/0001-48";"INSPECTORATE DO BRASIL INSPECOES LTDA.";"INSPECTORATE";"SÃO PAULO";"SANTOS";"71201 - Testes e análises técnicas";"IPI";"317,00";
"38.327.648/0001-40";"ENTRUST TRAVEL TURISMO LTDA";"LA VIAJERA";"SÃO PAULO";"SANTOS";"79112 - Agências de viagens";"Programa Emergencial de Retomada do Setor de Eventos (Perse) - IRPJ";"348,66";
"10.359.889/0001-51";"UP & RISE PROCESSAMENTO DE DADOS LTDA";"";"SÃO PAULO";"SANTOS";"00000 - Sem informação";"PIS";"378,00";
"17.627.090/0001-48";"PRAIAMAR CORPORATE EMPREENDIMENTOS IMOBILIARIOS LTDA";"PRAIAMAR CORPORATE";"SÃO PAULO";"SANTOS";"68102 - Atividades imobiliárias de imóveis próprios";"PIS";"383,00";
"17.046.568/0001-46";"KLV TRANSPORTE E FRETAMENTO LTDA";"KLV TURISMO";"MINAS GERAIS";"SANTOS DUMONT";"49299 - Transporte rodoviário coletivo de passageiros, sob regime de fretamento, e outros transportes rodoviários não especificados anteriormente";"Programa Emergencial de Retomada do Setor de Eventos (Perse) - CSLL";"396,26";
